date	groupes	genre	renouveau	sorts	origine	total
2007-07-05	UMP	H	anciens	Adopté	hemicycle	5
2007-07-06	UMP	H	anciens	Adopté	hemicycle	54
2007-07-06	UMP	H	anciens	Rejeté	hemicycle	2
2007-07-06	UMP	H	anciens	Retiré	hemicycle	6
2007-07-06	UMP	H	anciens	Tombe	hemicycle	1
2007-07-09	GDR	H	anciens	Rejeté	hemicycle	14
2007-07-09	GDR	H	anciens	Retiré	hemicycle	1
2007-07-09	SRC	H	anciens	Adopté	hemicycle	1
2007-07-09	SRC	H	anciens	Rejeté	hemicycle	4
2007-07-09	SRC	H	anciens	Retiré	hemicycle	3
2007-07-09	UMP	H	anciens	Adopté	hemicycle	16
2007-07-09	UMP	H	anciens	Non soutenu	hemicycle	4
2007-07-09	UMP	H	anciens	Rejeté	hemicycle	8
2007-07-09	UMP	H	anciens	Retiré	hemicycle	12
2007-07-09	UMP	H	anciens	Tombe	hemicycle	1
2007-07-10	GDR	F	anciens	Adopté	hemicycle	1
2007-07-10	GDR	F	anciens	Non soutenu	hemicycle	3
2007-07-10	GDR	F	anciens	Rejeté	hemicycle	9
2007-07-10	GDR	H	anciens	Indéfini	hemicycle	1
2007-07-10	GDR	H	anciens	Non soutenu	hemicycle	2
2007-07-10	GDR	H	anciens	Rejeté	hemicycle	39
2007-07-10	GDR	H	anciens	Retiré	hemicycle	3
2007-07-10	GDR	H	anciens	Tombe	hemicycle	1
2007-07-10	NC	H	anciens	Adopté	hemicycle	4
2007-07-10	NC	H	anciens	Non soutenu	hemicycle	2
2007-07-10	NC	H	anciens	Rejeté	hemicycle	3
2007-07-10	NC	H	anciens	Retiré	hemicycle	18
2007-07-10	NC	H	anciens	Tombe	hemicycle	2
2007-07-10	SRC	F	anciens	Adopté	hemicycle	2
2007-07-10	SRC	F	anciens	Rejeté	hemicycle	8
2007-07-10	SRC	F	anciens	Retiré	hemicycle	2
2007-07-10	SRC	H	anciens	Adopté	hemicycle	1
2007-07-10	SRC	H	anciens	Rejeté	hemicycle	62
2007-07-10	SRC	H	anciens	Tombe	hemicycle	2
2007-07-10	UMP	F	anciens	Rejeté	hemicycle	1
2007-07-10	UMP	H	anciens	Adopté	hemicycle	18
2007-07-10	UMP	H	anciens	Non soutenu	hemicycle	38
2007-07-10	UMP	H	anciens	Rejeté	hemicycle	15
2007-07-10	UMP	H	anciens	Retiré	hemicycle	15
2007-07-10	UMP	H	anciens	Tombe	hemicycle	8
2007-07-11	UMP	H	anciens	Adopté	hemicycle	1
2007-07-11	UMP	H	anciens	Rejeté	hemicycle	1
2007-07-11	UMP	H	anciens	Retiré	hemicycle	1
2007-07-11	UMP	H	anciens	Tombe	hemicycle	1
2007-07-12	GDR	H	anciens	Rejeté	hemicycle	1
2007-07-12	NC	H	anciens	Adopté	hemicycle	1
2007-07-12	NC	H	anciens	Retiré	hemicycle	1
2007-07-12	SRC	H	anciens	Rejeté	hemicycle	4
2007-07-12	UMP	H	anciens	Adopté	hemicycle	21
2007-07-12	UMP	H	anciens	Non soutenu	hemicycle	2
2007-07-12	UMP	H	anciens	Retiré	hemicycle	1
2007-07-13	GDR	H	anciens	Rejeté	hemicycle	19
2007-07-13	UMP	H	anciens	Adopté	hemicycle	10
2007-07-13	UMP	H	anciens	Non soutenu	hemicycle	1
2007-07-16	GDR	H	anciens	Non soutenu	hemicycle	17
2007-07-16	GDR	H	anciens	Rejeté	hemicycle	8
2007-07-16	NC	H	anciens	Non soutenu	hemicycle	1
2007-07-16	NC	H	anciens	Rejeté	hemicycle	4
2007-07-16	NC	H	anciens	Retiré	hemicycle	1
2007-07-16	SRC	F	anciens	Rejeté	hemicycle	5
2007-07-16	SRC	H	anciens	Adopté	hemicycle	1
2007-07-16	SRC	H	anciens	Rejeté	hemicycle	20
2007-07-16	SRC	H	anciens	Retiré	hemicycle	1
2007-07-16	SRC	H	anciens	Tombe	hemicycle	1
2007-07-17	NC	H	anciens	Retiré	hemicycle	1
2007-07-17	SRC	F	anciens	Rejeté	hemicycle	1
2007-07-18	UMP	H	anciens	Adopté	hemicycle	14
2007-07-18	UMP	H	anciens	Rejeté	hemicycle	1
2007-07-18	UMP	H	anciens	Retiré	hemicycle	1
2007-07-18	UMP	H	anciens	Tombe	hemicycle	1
2007-07-19	UMP	H	anciens	Adopté	hemicycle	34
2007-07-19	UMP	H	anciens	Indéfini	hemicycle	1
2007-07-19	UMP	H	anciens	Non soutenu	hemicycle	2
2007-07-19	UMP	H	anciens	Rejeté	hemicycle	3
2007-07-19	UMP	H	anciens	Retiré	hemicycle	13
2007-07-19	UMP	H	anciens	Tombe	hemicycle	3
2007-07-20	GDR	H	anciens	Rejeté	hemicycle	7
2007-07-20	UMP	H	anciens	Non soutenu	hemicycle	2
2007-07-20	UMP	H	anciens	Rejeté	hemicycle	3
2007-07-20	UMP	H	anciens	Retiré	hemicycle	1
2007-07-20	UMP	H	anciens	Tombe	hemicycle	5
2007-07-21	GDR	H	anciens	Non soutenu	hemicycle	5
2007-07-21	GDR	H	anciens	Rejeté	hemicycle	9
2007-07-21	GDR	H	anciens	Retiré	hemicycle	1
2007-07-21	GDR	H	anciens	Tombe	hemicycle	4
2007-07-21	NC	H	anciens	Adopté	hemicycle	1
2007-07-21	NC	H	anciens	Non soutenu	hemicycle	3
2007-07-21	NC	H	anciens	Rejeté	hemicycle	1
2007-07-21	NC	H	anciens	Tombe	hemicycle	1
2007-07-21	SRC	F	anciens	Non soutenu	hemicycle	5
2007-07-21	SRC	F	anciens	Rejeté	hemicycle	1
2007-07-21	SRC	F	anciens	Retiré	hemicycle	3
2007-07-21	SRC	F	anciens	Tombe	hemicycle	1
2007-07-21	SRC	H	anciens	Adopté	hemicycle	2
2007-07-21	SRC	H	anciens	Non soutenu	hemicycle	2
2007-07-21	SRC	H	anciens	Rejeté	hemicycle	30
2007-07-21	SRC	H	anciens	Retiré	hemicycle	4
2007-07-21	SRC	H	anciens	Tombe	hemicycle	8
2007-07-21	UMP	F	anciens	Retiré	hemicycle	1
2007-07-21	UMP	H	anciens	Adopté	hemicycle	9
2007-07-21	UMP	H	anciens	Non soutenu	hemicycle	17
2007-07-21	UMP	H	anciens	Rejeté	hemicycle	10
2007-07-21	UMP	H	anciens	Retiré	hemicycle	12
2007-07-21	UMP	H	anciens	Tombe	hemicycle	7
2007-07-23	GDR	H	anciens	Rejeté	hemicycle	2
2007-07-23	NC	H	anciens	Adopté	hemicycle	1
2007-07-23	SRC	H	anciens	Adopté	hemicycle	1
2007-07-23	SRC	H	anciens	Rejeté	hemicycle	3
2007-07-23	SRC	H	anciens	Tombe	hemicycle	1
2007-07-23	UMP	F	anciens	Adopté	hemicycle	1
2007-07-23	UMP	F	anciens	Retiré	hemicycle	1
2007-07-23	UMP	H	anciens	Adopté	hemicycle	3
2007-07-23	UMP	H	anciens	Non soutenu	hemicycle	1
2007-07-23	UMP	H	anciens	Rejeté	hemicycle	1
2007-07-23	UMP	H	anciens	Retiré	hemicycle	4
2007-07-23	UMP	H	anciens	Tombe	hemicycle	1
2007-07-24	GDR	F	anciens	Retiré	hemicycle	1
2007-07-24	GDR	H	anciens	Non soutenu	hemicycle	1
2007-07-24	GDR	H	anciens	Rejeté	hemicycle	3
2007-07-24	SRC	F	anciens	Retiré	hemicycle	1
2007-07-24	SRC	H	anciens	Adopté	hemicycle	1
2007-07-24	SRC	H	anciens	Non soutenu	hemicycle	1
2007-07-24	SRC	H	anciens	Rejeté	hemicycle	2
2007-07-24	SRC	H	anciens	Retiré	hemicycle	1
2007-07-24	UMP	H	anciens	Adopté	hemicycle	26
