date	groupes	genre	renouveau	typeprop	discute	total
2007-07-13	UMP	H	anciens	résolution européenne	attente	1
2007-07-18	UMP	H	anciens	loi	attente	1
2007-07-25	GDR	H	anciens	règlement de l'Assemblée nationale	attente	1
2007-07-25	SRC	H	anciens	loi	attente	1
2007-07-26	UMP	H	anciens	création d'une commission d'enquête	attente	1
2007-07-30	UMP	H	anciens	loi	attente	2
2007-08-01	UMP	H	anciens	loi	attente	2
2007-08-02	NC	H	anciens	loi	attente	5
2007-08-03	UMP	F	anciens	loi	attente	1
2007-08-08	SRC	H	anciens	création d'une commission d'enquête	attente	1
2007-08-13	SRC	H	anciens	création d'une commission d'enquête	attente	1
2007-08-13	UMP	H	anciens	loi	attente	1
2007-09-04	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-09-04	UMP	H	anciens	loi	attente	3
2007-09-07	UMP	H	anciens	loi	attente	7
2007-09-14	UMP	H	anciens	loi	attente	1
2007-09-18	UMP	H	anciens	loi constitutionnelle	attente	1
2007-09-20	UMP	H	anciens	loi	attente	1
2007-09-25	UMP	H	anciens	loi	attente	2
2007-09-26	GDR	F	anciens	création d'une commission d'enquête	attente	1
2007-09-26	SRC	H	anciens	création d'une commission d'enquête	attente	1
2007-09-26	SRC	H	anciens	loi	attente	1
2007-09-26	UMP	H	anciens	loi	attente	1
2007-09-27	UMP	H	anciens	loi	attente	2
2007-09-28	UMP	H	anciens	loi	attente	1
2007-10-01	UMP	H	anciens	loi	attente	3
2007-10-02	UMP	H	anciens	loi	discute	1
2007-10-03	SRC	H	anciens	loi	attente	1
2007-10-04	UMP	F	anciens	loi	attente	1
2007-10-04	UMP	F	anciens	loi organique	attente	1
2007-10-04	UMP	H	anciens	loi	attente	3
2007-10-08	NC	H	anciens	loi	attente	1
2007-10-08	UMP	F	anciens	loi	attente	1
2007-10-08	UMP	H	anciens	loi	attente	1
2007-10-09	UMP	H	anciens	loi	attente	2
2007-10-11	NI	H	anciens	loi	attente	1
2007-10-11	UMP	H	anciens	loi	attente	6
2007-10-12	NC	H	anciens	règlement de l'Assemblée nationale	attente	1
2007-10-12	SRC	H	anciens	loi	attente	1
2007-10-16	SRC	H	anciens	loi	attente	1
2007-10-16	UMP	F	anciens	loi	attente	1
2007-10-16	UMP	H	anciens	loi	attente	4
2007-10-18	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-10-19	NC	H	anciens	loi	discute	1
2007-10-19	UMP	H	anciens	loi	attente	1
2007-10-22	NC	H	anciens	loi	attente	1
2007-10-22	UMP	H	anciens	loi	attente	6
2007-10-23	NC	H	anciens	loi	attente	1
2007-10-24	UMP	H	anciens	loi	attente	3
2007-10-25	NC	H	anciens	loi	attente	2
2007-10-25	SRC	H	anciens	création d'une commission d'enquête	attente	2
2007-10-25	SRC	H	anciens	loi constitutionnelle	attente	1
2007-10-25	UMP	H	anciens	loi	attente	2
2007-10-26	NC	H	anciens	loi	attente	1
2007-10-26	UMP	F	anciens	loi	attente	1
2007-10-26	UMP	H	anciens	loi	attente	4
2007-10-29	UMP	F	anciens	règlement de l'Assemblée nationale	attente	1
2007-10-30	NC	H	anciens	loi	attente	1
2007-10-30	SRC	H	anciens	loi	attente	1
2007-10-30	UMP	H	anciens	loi	discute	1
2007-10-31	NC	H	anciens	loi	attente	8
2007-11-02	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-11-02	NC	H	anciens	loi	attente	1
2007-11-02	UMP	H	anciens	loi	attente	7
2007-11-02	UMP	H	anciens	loi	discute	1
2007-11-06	GDR	H	anciens	loi	attente	1
2007-11-06	NC	H	anciens	loi organique	attente	1
2007-11-06	UMP	H	anciens	loi	attente	1
2007-11-07	NC	H	anciens	loi	attente	5
2007-11-07	UMP	H	anciens	création d'une commission d'enquête	attente	1
2007-11-07	UMP	H	anciens	loi	attente	13
2007-11-08	NC	H	anciens	loi	attente	1
2007-11-08	UMP	H	anciens	loi	attente	3
2007-11-12	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-11-12	SRC	H	anciens	création d'une commission d'enquête	attente	1
2007-11-13	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-11-15	GDR	F	anciens	loi	attente	1
2007-11-16	UMP	H	anciens	loi	attente	4
2007-11-19	UMP	H	anciens	résolution européenne	attente	1
2007-11-20	NC	H	anciens	création d'une commission d'enquête	attente	1
2007-11-20	SRC	H	anciens	loi	discute	1
2007-11-21	SRC	H	anciens	loi	attente	1
2007-11-21	UMP	H	anciens	loi	attente	1
2007-11-22	SRC	F	anciens	loi	attente	1
2007-11-22	SRC	F	anciens	loi	discute	1
2007-11-22	SRC	H	anciens	loi	discute	1
2007-11-22	UMP	F	anciens	loi	attente	1
2007-11-22	UMP	H	anciens	loi	attente	4
2007-11-23	UMP	F	anciens	loi	attente	1
2007-11-28	UMP	H	anciens	loi	attente	1
2007-11-28	UMP	H	anciens	résolution européenne	attente	1
2007-11-29	SRC	H	anciens	loi	attente	1
2007-11-30	GDR	H	anciens	loi	attente	1
2007-11-30	UMP	H	anciens	loi	attente	1
2007-12-03	GDR	H	anciens	création d'une commission d'enquête	attente	1
2007-12-03	NI	H	anciens	loi	attente	2
2007-12-03	UMP	H	anciens	création d'une commission d'enquête	attente	1
2007-12-03	UMP	H	anciens	loi	attente	2
2007-12-03	UMP	H	anciens	loi constitutionnelle	attente	1
2007-12-05	NC	H	anciens	loi	attente	1
2007-12-06	GDR	H	anciens	création d'une commission d'enquête	attente	1
