date	groupes	genre	renouveau	debats	interventions	total
2012-06-26	SRC	H	anciens	hemicycle	presidence	2001
2012-06-26	UMP	H	anciens	hemicycle	presidence	1908
2012-06-27	SRC	H	anciens	hemicycle	presidence	421
2012-06-28	SRC	F	anciens	commissions	invectives	6
2012-06-28	SRC	F	anciens	commissions	longues	486
2012-06-28	SRC	F	anciens	commissions	presidence	1508
2012-06-28	SRC	H	anciens	commissions	invectives	36
2012-06-28	SRC	H	anciens	commissions	longues	256
2012-06-28	SRC	H	anciens	commissions	presidence	2922
2012-06-28	UDI	H	anciens	commissions	longues	291
2012-06-28	UMP	H	anciens	commissions	invectives	2
2012-06-28	UMP	H	anciens	commissions	longues	444
2012-06-28	UMP	H	anciens	commissions	presidence	936
2012-07-03	ECOLO	H	anciens	hemicycle	longues	2603
2012-07-03	GDR	H	anciens	hemicycle	invectives	25
2012-07-03	GDR	H	anciens	hemicycle	longues	2660
2012-07-03	GDR	H	nouveaux	hemicycle	invectives	8
2012-07-03	NI	F	anciens	hemicycle	longues	822
2012-07-03	NI	H	nouveaux	hemicycle	invectives	10
2012-07-03	RRDP	H	nouveaux	hemicycle	longues	2168
2012-07-03	SRC	H	anciens	hemicycle	invectives	179
2012-07-03	SRC	H	anciens	hemicycle	longues	5337
2012-07-03	SRC	H	anciens	hemicycle	presidence	965
2012-07-03	SRC	H	nouveaux	hemicycle	invectives	24
2012-07-03	UDI	H	anciens	hemicycle	invectives	44
2012-07-03	UDI	H	anciens	hemicycle	longues	2784
2012-07-03	UMP	F	anciens	hemicycle	invectives	45
2012-07-03	UMP	H	anciens	hemicycle	invectives	603
2012-07-03	UMP	H	anciens	hemicycle	longues	3736
2012-07-04	ECOLO	F	nouveaux	commissions	longues	364
2012-07-04	ECOLO	F	nouveaux	commissions	presidence	749
2012-07-04	ECOLO	F	nouveaux	hemicycle	longues	3402
2012-07-04	GDR	F	anciens	commissions	longues	173
2012-07-04	GDR	H	anciens	commissions	longues	656
2012-07-04	GDR	H	anciens	hemicycle	invectives	34
2012-07-04	GDR	H	anciens	hemicycle	longues	1364
2012-07-04	GDR	H	nouveaux	commissions	longues	820
2012-07-04	GDR	H	nouveaux	hemicycle	invectives	10
2012-07-04	NI	F	nouveaux	hemicycle	invectives	5
