date	groupes	genre	renouveau	typeprop	discute	total
2012-06-27	LR	H	anciens	loi organique	discute	1
2012-06-28	LR	H	anciens	loi organique	attente	1
2012-07-02	LR	F	anciens	loi constitutionnelle	attente	1
2012-07-02	LR	F	anciens	loi organique	attente	1
2012-07-02	LR	H	anciens	création d'une commission d'enquête	attente	1
2012-07-02	LR	H	anciens	résolution	attente	1
2012-07-12	LR	H	anciens	loi constitutionnelle	attente	1
2012-07-19	GDR	F	anciens	création d'une commission d'enquête	attente	1
2012-07-19	GDR	H	anciens	création d'une commission d'enquête	attente	1
2012-07-19	GDR	H	anciens	création d'une commission d'enquête	discute	1
2012-07-24	GDR	F	anciens	loi	attente	5
2012-07-24	GDR	H	anciens	loi	attente	1
2012-07-24	LR	H	anciens	loi	attente	7
2012-07-24	LR	H	anciens	loi organique	attente	1
2012-07-24	LR	H	nouveaux	loi	attente	1
2012-07-24	SER	H	anciens	loi	attente	1
2012-07-24	UDI	H	anciens	loi	discute	1
2012-07-25	LR	H	nouveaux	résolution européenne	attente	1
2012-07-26	GDR	H	anciens	création d'une commission d'enquête	attente	1
2012-07-27	GDR	H	anciens	résolution	attente	1
2012-07-27	LR	F	anciens	loi constitutionnelle	attente	1
2012-07-27	LR	F	anciens	loi organique	attente	1
2012-08-17	LR	F	anciens	loi organique	attente	1
2012-08-23	LR	H	anciens	loi	attente	1
2012-08-23	LR	H	anciens	loi	discute	2
2012-09-06		H	anciens	loi	discute	1
2012-09-06	LR	H	nouveaux	loi organique	attente	1
2012-09-12	GDR	H	anciens	loi	attente	1
2012-09-12	LR	F	anciens	loi	attente	8
2012-09-12	LR	F	nouveaux	loi	attente	1
2012-09-12	LR	H	anciens	loi	attente	28
2012-09-12	LR	H	nouveaux	loi	attente	1
2012-09-12	LR	H	nouveaux	loi	discute	1
2012-09-12	UDI	H	anciens	loi	attente	1
2012-09-21	GDR	H	anciens	création d'une commission d'enquête	attente	1
2012-09-21	LR	H	anciens	loi	discute	1
2012-09-24	GDR	H	anciens	résolution	attente	1
2012-09-25	SER	H	anciens	résolution européenne	discute	1
2012-09-26		H	anciens	loi	attente	1
2012-09-26	GDR	H	anciens	loi	attente	5
2012-09-26	GDR	H	anciens	loi	discute	1
2012-09-26	LR	F	anciens	loi	attente	1
