date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-11,NG,F,anciens,attente,3,Ministère de l’intérieur,papiers d'identité,1
2017-07-11,NG,F,anciens,attente,3,Ministère de la transition écologique et solidaire,santé,1
2017-07-11,NG,F,anciens,attente,3,Ministère des solidarités et de la santé,famille,1
2017-07-11,NG,F,anciens,attente,3,Ministère du travail,formation professionnelle et apprentissage,1
2017-07-11,NG,F,anciens,reponse,2,Ministère de la transition écologique et solidaire,entreprises,1
2017-07-11,NG,H,anciens,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-11,NG,H,anciens,attente,3,Ministère de l'éducation nationale,enseignement secondaire,1
2017-07-11,NG,H,anciens,attente,3,Ministère de la cohésion des territoires,administration,1
2017-07-11,NG,H,anciens,attente,3,Ministère de la cohésion des territoires,logement,1
2017-07-11,NG,H,anciens,attente,3,Ministère de la justice,déchéances et incapacités,1
2017-07-11,NG,H,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-11,NG,H,anciens,reponse,2,Ministère du travail,professions judiciaires et juridiques,1
2017-07-11,NG,H,anciens,reponse,3,Ministère des sports,sports,1
2017-07-11,NG,H,anciens,reponse,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,handicapés,1
2017-07-11,NI,H,anciens,retrait,2,Ministère de l’intérieur,défense,1
2017-07-11,NI,H,anciens,retrait,2,Ministère de l’intérieur,terrorisme,1
2017-07-18,LC,F,anciens,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,enseignement,2
2017-07-18,LC,F,anciens,attente,3,Ministère de la cohésion des territoires,transports,1
2017-07-18,LC,F,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,aménagement du territoire,1
2017-07-18,LC,F,nouveaux,attente,3,Ministère de la justice,professions judiciaires et juridiques,1
2017-07-18,LR,F,anciens,attente,3,Ministère de l'économie et des finances,communes,1
2017-07-18,LR,F,anciens,attente,3,Ministère de l'économie et des finances,sécurité sociale,1
2017-07-18,LR,F,anciens,attente,3,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-18,LR,F,anciens,attente,3,Ministère de la transition écologique et solidaire,animaux,1
2017-07-18,LR,F,anciens,attente,3,Ministère des solidarités et de la santé,personnes handicapées,1
2017-07-18,LR,F,anciens,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé du numérique,Internet,1
2017-07-18,LR,F,anciens,reponse,0,Ministère des solidarités et de la santé,santé,1
2017-07-18,LR,F,anciens,reponse,2,Ministère de l’intérieur,sécurité routière,1
2017-07-18,LR,F,anciens,reponse,2,Ministère des solidarités et de la santé,pharmacie et médicaments,1
2017-07-18,LR,F,nouveaux,attente,3,Ministère de l’intérieur,crimes, délits et contraventions,1
2017-07-18,LR,F,nouveaux,attente,3,Ministère de la culture,culture,1
2017-07-18,LR,F,nouveaux,attente,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-18,LR,F,nouveaux,reponse,2,Ministère des solidarités et de la santé,famille,1
2017-07-18,LR,F,nouveaux,reponse,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-18,LR,F,nouveaux,reponse,3,Ministère du travail,travail,1
2017-07-18,LR,H,anciens,attente,3,Ministère de l'action et des comptes publics,retraites : généralités,1
2017-07-18,LR,H,anciens,attente,3,Ministère de l’intérieur,sécurité routière,1
2017-07-18,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,maladies,1
2017-07-18,LR,H,anciens,reponse,3,Ministère de la cohésion des territoires,communes,1
2017-07-18,LR,H,nouveaux,attente,3,Ministère de la justice,lieux de privation de liberté,1
2017-07-18,LR,H,nouveaux,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé du numérique,Internet,1
2017-07-18,LR,H,nouveaux,reponse,3,Ministère de l’intérieur,gendarmerie,1
2017-07-18,LREM,F,anciens,reponse,2,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,personnes handicapées,1
2017-07-18,LREM,F,nouveaux,reponse,3,Ministère de l'éducation nationale,personnes handicapées,1
2017-07-18,LREM,H,anciens,attente,3,Ministère de l'éducation nationale,enseignement supérieur,1
2017-07-18,LREM,H,anciens,attente,3,Ministère de la culture,culture,1
2017-07-18,LREM,H,anciens,attente,3,Ministère des solidarités et de la santé,produits dangereux,1
2017-07-18,LREM,H,anciens,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,santé,1
2017-07-18,LREM,H,nouveaux,attente,3,Ministère de la culture,culture,1
2017-07-18,LREM,H,nouveaux,attente,3,Ministère de la justice,justice,1
2017-07-18,LREM,H,nouveaux,attente,3,Ministère des solidarités et de la santé,médecine,1
2017-07-18,LREM,H,nouveaux,reponse,3,Ministère de l’intérieur,élections et référendums,1
2017-07-18,LREM,H,nouveaux,reponse,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-18,NG,F,anciens,attente,3,Ministère de l'action et des comptes publics,finances publiques,1
2017-07-18,NG,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports par eau,1
2017-07-18,NG,H,anciens,attente,3,Ministère des solidarités et de la santé,personnes handicapées,1
2017-07-18,NI,F,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-18,NI,H,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
